House ID,City,Location,Price,Bedrooms,Bathrooms,Square Footage,Year Built/Age,Amenities,House Type,Sale Status,Minimum Credit Score,Link
1,Baltimore City,"1234 Oakford Avenue",250000,3,2,1500,"10 years","Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing1"
2,Arbutus,"5678 Circle Dr",300000,4,3,2000,"5 years","Garage",Townhouse,Rent,700,"https://example.com/listing2"
3,Halethrope,"9012 Ridge Avenue",400000,4,2,1800,"8 years","Garden",Condo,Sale,720,"https://example.com/listing3"
4,Baltimore City,"3456 Haddon Avenue",350000,3,2,1600,"7 years","Garage",Single-family home,Rent,680,"https://example.com/listing4"
5,Arbutus,"7890 Courtney Road",275000,3,2,1400,"6 years","Garden",Townhouse,Sale,640,"https://example.com/listing5"
6,Halethrope,"2345 Woodside Avenue",500000,5,4,2500,"12 years","Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing6"
7,Baltimore City,"6789 Oakford Avenue",325000,3,2,1600,"9 years","Garage",Condo,Rent,700,"https://example.com/listing7"
8,Arbutus,"1234 Circle Dr",350000,4,3,2000,"5 years","Garden",Townhouse,Sale,680,"https://example.com/listing8"
9,Halethrope,"5678 Ridge Avenue",450000,4,2,1800,"8 years","Garage",Single-family home,Sale,720,"https://example.com/listing9"
10,Baltimore City,"9012 Haddon Avenue",375000,3,2,1600,"7 years","Garden",Townhouse,Rent,680,"https://example.com/listing10"
11,Baltimore City,"1111 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing11"
12,Arbutus,"1112 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing12"
13,Halethrope,"1113 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing13"
14,Baltimore City,"1114 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing14"
15,Arbutus,"1115 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing15"
16,Halethrope,"1116 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing16"
17,Baltimore City,"1117 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing17"
18,Arbutus,"1118 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing18"
19,Halethrope,"1119 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing19"
20,Baltimore City,"1120 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing20"
21,Arbutus,"1121 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing21"
22,Halethrope,"1122 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing22"
23,Baltimore City,"1123 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing23"
24,Arbutus,"1124 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing24"
25,Halethrope,"1125 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing25"
26,Baltimore City,"1126 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing26"
27,Baltimore City,"2701 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing27"
28,Arbutus,"2702 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing28"
29,Halethrope,"2703 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing29"
30,Baltimore City,"2704 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing30"
31,Arbutus,"2705 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing31"
32,Halethrope,"2706 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing32"
33,Baltimore City,"2707 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing33"
34,Arbutus,"2708 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing34"
35,Halethrope,"2709 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing35"
36,Baltimore City,"2710 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing36"
37,Arbutus,"2711 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing37"
38,Halethrope,"2712 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing38"
39,Baltimore City,"2713 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing39"
40,Arbutus,"2714 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing40"
41,Halethrope,"2715 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing41"
42,Baltimore City,"2716 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing42"
43,Baltimore City,"4301 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing43"
44,Arbutus,"4302 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing44"
45,Halethrope,"4303 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing45"
46,Baltimore City,"4304 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing46"
47,Arbutus,"4305 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing47"
48,Halethrope,"4306 Woodside Avenue",500000,5,4,2500,12 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing48"
49,Baltimore City,"4307 Oakford Avenue",325000,3,2,1600,9 years,"Garage",Condo,Rent,700,"https://example.com/listing49"
50,Arbutus,"4308 Circle Dr",280000,3,2,1500,8 years,"Garden",Single-family home,Sale,660,"https://example.com/listing50"
51,Halethrope,"4309 Ridge Avenue",380000,4,3,2000,10 years,"Swimming Pool, Garage",Townhouse,Sale,720,"https://example.com/listing51"
52,Baltimore City,"4310 Haddon Avenue",365000,4,2,1800,6 years,"Garden",Condo,Rent,700,"https://example.com/listing52"
53,Arbutus,"4311 Courtney Road",295000,3,2,1600,7 years,"Garage",Single-family home,Sale,680,"https://example.com/listing53"
54,Halethrope,"4312 Woodside Avenue",520000,5,4,2500,11 years,"Swimming Pool, Garden",Single-family home,Sale,750,"https://example.com/listing54"
55,Baltimore City,"4313 Oakford Avenue",335000,3,2,1500,9 years,"Garage",Condo,Rent,700,"https://example.com/listing55"
56,Arbutus,"4314 Circle Dr",310000,4,3,2000,6 years,"Garden",Townhouse,Sale,700,"https://example.com/listing56"
57,Halethrope,"4315 Ridge Avenue",420000,4,2,1800,8 years,"Garage",Single-family home,Sale,720,"https://example.com/listing57"
58,Baltimore City,"4316 Haddon Avenue",375000,3,2,1600,7 years,"Swimming Pool, Garden",Single-family home,Rent,680,"https://example.com/listing58"
59,Baltimore City,"5901 Oakford Avenue",250000,3,2,1500,10 years,"Swimming Pool, Garden",Single-family home,Sale,680,"https://example.com/listing59"
60,Arbutus,"5902 Circle Dr",300000,4,3,2000,5 years,"Garage",Townhouse,Rent,700,"https://example.com/listing60"
61,Halethrope,"5903 Ridge Avenue",400000,4,2,1800,8 years,"Garden",Condo,Sale,720,"https://example.com/listing61"
62,Baltimore City,"5904 Haddon Avenue",350000,3,2,1600,7 years,"Garage",Single-family home,Rent,680,"https://example.com/listing62"
63,Arbutus,"5905 Courtney Road",275000,3,2,1400,6 years,"Garden",Townhouse,Sale,640,"https://example.com/listing63"
